order_gid,order_name,order_created_at,order_processed_at,order_financial_status,order_total_amount,order_currency,transaction_gid,transaction_kind,transaction_status,transaction_gateway,transaction_created_at,transaction_processed_at,transaction_amount,transaction_currency,fee_type,fee_amount,fee_currency,fee_tax_amount,fee_tax_currency,fee_rate_name,fee_flat_fee_name,fee_rate
gid://shopify/Order/6969325322430,#1095,2025-08-04T04:00:45Z,2025-08-04T04:00:41Z,REFUNDED,69.0,USD,gid://shopify/OrderTransaction/8361308356798,CAPTURE,SUCCESS,shopify_payments,2025-08-04T04:00:46Z,2025-08-04T04:00:47Z,69.0,USD,processing_fee,2.58,USD,0.0,USD,premium_domestic_card_not_present,,0.033
gid://shopify/Order/6969382043838,#1096,2025-08-04T04:33:18Z,2025-08-04T04:33:14Z,REFUNDED,55.2,USD,gid://shopify/OrderTransaction/8361378250942,CAPTURE,SUCCESS,shopify_payments,2025-08-04T04:33:20Z,2025-08-04T04:33:20Z,55.2,USD,processing_fee,1.79,USD,0.0,USD,domestic_card_not_present,,0.027
gid://shopify/Order/6969412616382,#1097,2025-08-04T05:02:21Z,2025-08-04T05:02:15Z,REFUNDED,55.2,USD,gid://shopify/OrderTransaction/8361417146558,CAPTURE,SUCCESS,shopify_payments,2025-08-04T05:02:23Z,2025-08-04T05:02:23Z,55.2,USD,processing_fee,1.79,USD,0.0,USD,domestic_card_not_present,,0.027
gid://shopify/Order/6969761497278,#1098,2025-08-04T10:54:11Z,2025-08-04T10:54:05Z,REFUNDED,69.0,USD,gid://shopify/OrderTransaction/8361821601982,CAPTURE,SUCCESS,shopify_payments,2025-08-04T10:54:12Z,2025-08-04T10:54:12Z,69.0,USD,processing_fee,2.16,USD,0.0,USD,domestic_card_not_present,,0.027
gid://shopify/Order/6969765036222,#1099,2025-08-04T10:57:29Z,2025-08-04T10:57:23Z,REFUNDED,69.0,USD,gid://shopify/OrderTransaction/8361824813246,CAPTURE,SUCCESS,shopify_payments,2025-08-04T10:57:30Z,2025-08-04T10:57:30Z,69.0,USD,processing_fee,2.16,USD,0.0,USD,domestic_card_not_present,,0.027
gid://shopify/Order/6969869828286,#1102,2025-08-04T12:28:14Z,2025-08-04T12:28:09Z,REFUNDED,55.2,USD,gid://shopify/OrderTransaction/8361942581438,CAPTURE,SUCCESS,shopify_payments,2025-08-04T12:28:15Z,2025-08-04T12:28:15Z,55.2,USD,processing_fee,1.79,USD,0.0,USD,domestic_card_not_present,,0.027
gid://shopify/Order/6969901744318,#1103,2025-08-04T12:53:38Z,2025-08-04T12:53:33Z,REFUNDED,69.0,USD,gid://shopify/OrderTransaction/8361977577662,CAPTURE,SUCCESS,shopify_payments,2025-08-04T12:53:39Z,2025-08-04T12:53:40Z,69.0,USD,processing_fee,2.16,USD,0.0,USD,domestic_card_not_present,,0.027
gid://shopify/Order/6969912197310,#1104,2025-08-04T13:01:55Z,2025-08-04T13:01:54Z,REFUNDED,55.2,USD,gid://shopify/OrderTransaction/8361989537982,CAPTURE,SUCCESS,shopify_payments,2025-08-04T13:01:56Z,2025-08-04T13:01:56Z,55.2,USD,processing_fee,2.42,USD,0.0,USD,paypal_domestic_card_not_present,,0.0349
gid://shopify/Order/6978824274110,#1106,2025-08-08T04:40:00Z,2025-08-08T04:39:56Z,REFUNDED,39.2,USD,gid://shopify/OrderTransaction/8373162967230,CAPTURE,SUCCESS,shopify_payments,2025-08-08T04:40:01Z,2025-08-08T04:40:02Z,39.2,USD,processing_fee,1.36,USD,0.0,USD,domestic_card_not_present,,0.027
gid://shopify/Order/6985132605630,#1107,2025-08-11T15:13:14Z,2025-08-11T15:13:11Z,REFUNDED,39.2,USD,gid://shopify/OrderTransaction/8381106979006,CAPTURE,SUCCESS,shopify_payments,2025-08-11T15:13:15Z,2025-08-11T15:13:17Z,39.2,USD,processing_fee,1.36,USD,0.0,USD,domestic_card_not_present,,0.027
gid://shopify/Order/6990960230590,#1108,2025-08-13T15:26:19Z,2025-08-13T15:26:14Z,REFUNDED,49.0,USD,gid://shopify/OrderTransaction/8388174446782,CAPTURE,SUCCESS,shopify_payments,2025-08-13T15:26:20Z,2025-08-13T15:26:21Z,49.0,USD,processing_fee,1.62,USD,0.0,USD,domestic_card_not_present,,0.027
