order_gid,order_name,order_created_at,order_processed_at,order_financial_status,order_total_amount,order_currency,transaction_gid,transaction_kind,transaction_status,transaction_gateway,transaction_created_at,transaction_processed_at,transaction_amount,transaction_currency,fee_type,fee_amount,fee_currency,fee_tax_amount,fee_tax_currency,fee_rate_name,fee_flat_fee_name,fee_rate
gid://shopify/Order/7077544526014,#1130,2025-09-21T21:03:17Z,2025-09-21T21:03:13Z,REFUNDED,69.0,USD,gid://shopify/OrderTransaction/8497373741246,CAPTURE,SUCCESS,shopify_payments,2025-09-21T21:03:18Z,2025-09-21T21:03:19Z,69.0,USD,processing_fee,2.16,USD,0.0,USD,domestic_card_not_present,,0.027
gid://shopify/Order/7569307959486,#1135,2026-03-18T09:17:54Z,2026-03-18T09:17:51Z,REFUNDED,47.2,USD,gid://shopify/OrderTransaction/9092949704894,CAPTURE,SUCCESS,shopify_payments,2026-03-18T09:17:56Z,2026-03-18T09:17:56Z,47.2,USD,processing_fee,2.33,USD,0.0,USD,amex_international_card_not_present,,0.043
gid://shopify/Order/7569314742462,#1136,2026-03-18T09:23:23Z,2026-03-18T09:23:20Z,REFUNDED,117.0,USD,gid://shopify/OrderTransaction/9092960190654,CAPTURE,SUCCESS,shopify_payments,2026-03-18T09:23:24Z,2026-03-18T09:23:24Z,117.0,USD,processing_fee,5.33,USD,0.0,USD,amex_international_card_not_present,,0.043
gid://shopify/Order/7583153094846,#1137,2026-03-23T11:21:43Z,2026-03-23T11:21:38Z,REFUNDED,117.0,USD,gid://shopify/OrderTransaction/9109569732798,CAPTURE,SUCCESS,shopify_payments,2026-03-23T11:21:44Z,2026-03-23T11:21:44Z,117.0,USD,processing_fee,5.33,USD,0.0,USD,amex_international_card_not_present,,0.043
gid://shopify/Order/7586133999806,#1138,2026-03-24T09:56:43Z,2026-03-24T09:56:41Z,PAID,59.0,USD,gid://shopify/OrderTransaction/9112418517182,CAPTURE,SUCCESS,shopify_payments,2026-03-24T09:56:44Z,2026-03-24T09:56:44Z,59.0,USD,processing_fee,2.72,USD,0.0,USD,amex_international_card_not_present,,0.041
gid://shopify/Order/7586136883390,#1139,2026-03-24T10:00:28Z,2026-03-24T10:00:24Z,REFUNDED,53.1,USD,gid://shopify/OrderTransaction/9112422842558,CAPTURE,SUCCESS,shopify_payments,2026-03-24T10:00:29Z,2026-03-24T10:00:29Z,59.0,USD,processing_fee,2.72,USD,0.0,USD,amex_international_card_not_present,,0.041
gid://shopify/Order/7586138194110,#1140,2026-03-24T10:01:27Z,2026-03-24T10:01:24Z,REFUNDED,90.0,USD,gid://shopify/OrderTransaction/9112424349886,CAPTURE,SUCCESS,shopify_payments,2026-03-24T10:01:28Z,2026-03-24T10:01:28Z,90.0,USD,processing_fee,3.99,USD,0.0,USD,amex_international_card_not_present,,0.041
gid://shopify/Order/7601812013246,#1141,2026-03-30T06:45:41Z,2026-03-30T06:45:36Z,REFUNDED,90.0,USD,gid://shopify/OrderTransaction/9132182143166,CAPTURE,SUCCESS,shopify_payments,2026-03-30T06:45:42Z,2026-03-30T06:45:42Z,90.0,USD,processing_fee,3.99,USD,0.0,USD,amex_international_card_not_present,,0.041
gid://shopify/Order/7601833181374,#1142,2026-03-30T07:07:21Z,2026-03-30T07:07:17Z,REFUNDED,117.0,USD,gid://shopify/OrderTransaction/9132210815166,CAPTURE,SUCCESS,shopify_payments,2026-03-30T07:07:22Z,2026-03-30T07:07:22Z,117.0,USD,processing_fee,5.1,USD,0.0,USD,amex_international_card_not_present,,0.041
gid://shopify/Order/7601880498366,#1143,2026-03-30T07:57:05Z,2026-03-30T07:57:01Z,REFUNDED,117.0,USD,gid://shopify/OrderTransaction/9132277137598,CAPTURE,SUCCESS,shopify_payments,2026-03-30T07:57:06Z,2026-03-30T07:57:06Z,117.0,USD,processing_fee,5.1,USD,0.0,USD,amex_international_card_not_present,,0.041
gid://shopify/Order/7604990836926,#1144,2026-03-31T13:10:02Z,2026-03-31T13:09:59Z,PAID,59.0,USD,gid://shopify/OrderTransaction/9136495100094,CAPTURE,SUCCESS,shopify_payments,2026-03-31T13:10:04Z,2026-03-31T13:10:04Z,59.0,USD,processing_fee,2.72,USD,0.0,USD,amex_international_card_not_present,,0.041
gid://shopify/Order/7605007188158,#1145,2026-03-31T13:16:32Z,2026-03-31T13:16:28Z,PAID,87.0,USD,gid://shopify/OrderTransaction/9136509616318,CAPTURE,SUCCESS,shopify_payments,2026-03-31T13:16:33Z,2026-03-31T13:16:33Z,87.0,USD,processing_fee,3.87,USD,0.0,USD,amex_international_card_not_present,,0.041
gid://shopify/Order/7611221835966,#1146,2026-04-01T23:39:14Z,2026-04-01T23:39:12Z,PAID,47.2,USD,gid://shopify/OrderTransaction/9144294310078,CAPTURE,SUCCESS,shopify_payments,2026-04-01T23:39:16Z,2026-04-01T23:39:16Z,47.2,USD,processing_fee,1.48,USD,0.0,USD,domestic_card_not_present,,0.025
gid://shopify/Order/7616048332990,#1147,2026-04-03T22:30:18Z,2026-04-03T22:30:13Z,PAID,47.2,USD,gid://shopify/OrderTransaction/9160586133694,CAPTURE,SUCCESS,shopify_payments,2026-04-03T22:30:19Z,2026-04-03T22:30:19Z,47.2,USD,processing_fee,1.76,USD,0.0,USD,amex_card_not_present,,0.031
gid://shopify/Order/7618867560638,#1148,2026-04-05T09:46:08Z,2026-04-05T09:46:05Z,REFUNDED,59.0,USD,gid://shopify/OrderTransaction/9166147682494,CAPTURE,SUCCESS,shopify_payments,2026-04-05T09:46:09Z,2026-04-05T09:46:09Z,59.0,USD,processing_fee,2.72,USD,0.0,USD,amex_international_card_not_present,,0.041
gid://shopify/Order/7620542791870,#1149,2026-04-06T06:32:15Z,2026-04-06T06:32:12Z,REFUNDED,59.0,USD,gid://shopify/OrderTransaction/9168606363838,CAPTURE,SUCCESS,shopify_payments,2026-04-06T06:32:16Z,2026-04-06T06:32:16Z,59.0,USD,processing_fee,2.72,USD,0.0,USD,amex_international_card_not_present,,0.041
gid://shopify/Order/7623259029694,#1150,2026-04-07T10:04:12Z,2026-04-07T10:04:09Z,REFUNDED,50.15,USD,gid://shopify/OrderTransaction/9172551401662,CAPTURE,SUCCESS,shopify_payments,2026-04-07T10:04:14Z,2026-04-07T10:04:14Z,50.15,USD,processing_fee,1.85,USD,0.0,USD,amex_card_not_present,,0.031
gid://shopify/Order/7637121466558,#1151,2026-04-12T11:17:53Z,2026-04-12T11:17:50Z,REFUNDED,59.0,USD,gid://shopify/OrderTransaction/9190130811070,CAPTURE,SUCCESS,shopify_payments,2026-04-12T11:18:05Z,2026-04-12T11:18:05Z,59.0,USD,processing_fee,2.72,USD,0.0,USD,amex_international_card_not_present,,0.041
gid://shopify/Order/7643151073470,#1152,2026-04-14T09:01:05Z,2026-04-14T09:01:01Z,REFUNDED,29.0,USD,gid://shopify/OrderTransaction/9195511316670,CAPTURE,SUCCESS,shopify_payments,2026-04-14T09:01:07Z,2026-04-14T09:01:07Z,29.0,USD,processing_fee,1.49,USD,0.0,USD,amex_international_card_not_present,,0.041
gid://shopify/Order/7647816417470,#1154,2026-04-15T17:09:37Z,2026-04-15T17:09:34Z,PAID,59.0,USD,gid://shopify/OrderTransaction/9201085219006,CAPTURE,SUCCESS,shopify_payments,2026-04-15T17:09:38Z,2026-04-15T17:09:38Z,59.0,USD,processing_fee,1.78,USD,0.0,USD,domestic_card_not_present,,0.025
gid://shopify/Order/7648499859646,#1155,2026-04-15T22:10:29Z,2026-04-15T22:10:26Z,PAID,50.15,USD,gid://shopify/OrderTransaction/9202028642494,CAPTURE,SUCCESS,shopify_payments,2026-04-15T22:10:30Z,2026-04-15T22:10:30Z,50.15,USD,processing_fee,1.55,USD,0.0,USD,domestic_card_not_present,,0.025
gid://shopify/Order/7648559726782,#1156,2026-04-15T22:45:40Z,2026-04-15T22:45:36Z,PAID,50.15,USD,gid://shopify/OrderTransaction/9202106138814,SALE,SUCCESS,shopify_payments,2026-04-15T22:45:37Z,2026-04-15T22:45:37Z,50.15,USD,processing_fee,2.06,USD,0.0,USD,international_card_not_present,,0.035
gid://shopify/Order/7648624083134,#1157,2026-04-15T23:25:39Z,2026-04-15T23:25:35Z,PAID,59.0,USD,gid://shopify/OrderTransaction/9202190188734,CAPTURE,SUCCESS,shopify_payments,2026-04-15T23:25:41Z,2026-04-15T23:25:41Z,59.0,USD,processing_fee,1.78,USD,0.0,USD,domestic_card_not_present,,0.025
gid://shopify/Order/7648726253758,#1158,2026-04-16T00:31:41Z,2026-04-16T00:31:36Z,PAID,59.0,USD,gid://shopify/OrderTransaction/9202318344382,CAPTURE,SUCCESS,shopify_payments,2026-04-16T00:31:42Z,2026-04-16T00:31:42Z,59.0,USD,processing_fee,1.78,USD,0.0,USD,domestic_card_not_present,,0.025
